,SMA
2010-01-04,30.9814
2010-01-05,30.9871
2010-01-06,30.9543
2010-01-07,30.8517
2010-01-08,30.7474
2010-01-11,30.6489
2010-01-12,30.5903
2010-01-13,30.5046
2010-01-14,30.5046
2010-01-15,30.5174
2010-01-19,30.6100
2010-01-20,30.5993
2010-01-21,30.5621
2010-01-22,30.4036
2010-01-25,30.2564
2010-01-26,30.0479
2010-01-27,29.8779
2010-01-28,29.6007
2010-01-29,29.2571
2010-02-01,29.0286
2010-02-02,28.9571
2010-02-03,28.8586
2010-02-04,28.6214
2010-02-05,28.3857
2010-02-08,28.1800
2010-02-09,28.1557
2010-02-10,28.0957
2010-02-11,28.0471
2010-02-12,27.9471
2010-02-16,28.0200
2010-02-17,28.1014
2010-02-18,28.2799
2010-02-19,28.3884
2010-02-22,28.4941
2010-02-23,28.5241
2010-02-24,28.6241
2010-02-25,28.6599
2010-02-26,28.6713
2010-03-01,28.6786
2010-03-02,28.6343
2010-03-03,28.5957
2010-03-04,28.6386
2010-03-05,28.6325
2010-03-08,28.6368
2010-03-09,28.6554
2010-03-10,28.6482
2010-03-11,28.7511
2010-03-12,28.8668
2010-03-15,28.9611
2010-03-16,29.0729
2010-03-17,29.2157
2010-03-18,29.3314
2010-03-19,29.4200
2010-03-22,29.4800
2010-03-23,29.5671
2010-03-24,29.6186
2010-03-25,29.7100
2010-03-26,29.7143
2010-03-29,29.7114
2010-03-30,29.7371
2010-03-31,29.6925
2010-04-01,29.5896
2010-04-05,29.5354
2010-04-06,29.4368
2010-04-07,29.3925
2010-04-08,29.4396
2010-04-09,29.5211
2010-04-12,29.6686
2010-04-13,29.8529
2010-04-14,30.0743
2010-04-15,30.2957
2010-04-16,30.4843
2010-04-19,30.6441
2010-04-20,30.7899
2010-04-21,30.9344
2010-04-22,31.0687
2010-04-23,31.0887
2010-04-26,31.1230
2010-04-27,31.1480
2010-04-28,31.1296
2010-04-29,31.0786
2010-04-30,30.9647
2010-05-03,30.8890
2010-05-04,30.7704
2010-05-05,30.5904
2010-05-06,30.3240
2010-05-07,29.9383
2010-05-10,29.6436
2010-05-11,29.4071
2010-05-12,29.2043
2010-05-13,29.0771
2010-05-14,28.9457
2010-05-17,28.9400
2010-05-18,28.9954
2010-05-19,28.8954
2010-05-20,28.6425
2010-05-21,28.2711
2010-05-24,27.8468
2010-05-25,27.4382
2010-05-26,26.8768
2010-05-27,26.5057
2010-05-28,26.1571
2010-06-01,25.9829
2010-06-02,25.9286
2010-06-03,26.0129
2010-06-04,25.9729
2010-06-07,26.0129
2010-06-08,25.8857
2010-06-09,25.7414
2010-06-10,25.6143
