date,msft vol,SMA,SMA,Real Lower Band,Real Upper Band,MACD_Hist,fft 3,fft 6,fft 9,amzn adj close,aapl adj close,googl adj close,nasdaq adj close,nyse adj close,sp500 adj close,tb13 adj close
2010-01-04,38409100.0,30.9814,30.3333,29.2202,31.4465,-0.0135,(63.329217368918975-5.445032209281657j),(65.6842180673728-2.4857973621591105j),(65.97943839803993-1.5753995046281766j),133.9,26.8842,314.3454,2308.419922,7326.740234000001,1132.98999,0.055
2010-01-05,49749600.0,30.9871,30.3871,29.2673,31.507,-0.0213,(63.14431819828168-5.451426161792698j),(65.24319793302604-2.4857538714031664j),(65.29842817505249-1.5786708804565022j),134.69,26.9307,312.9611,2308.709961,7354.870117,1136.52002,0.06
2010-01-06,58182400.0,30.9543,30.4248,29.3091,31.5404,-0.0414,(62.95909131898918-5.457441897551193j),(64.80165003265297-2.4850205520246647j),(64.61681645796783-1.5809565565327233j),132.25,26.5024,305.0717,2301.090088,7377.700195,1137.140015,0.045
2010-01-07,50559700.0,30.8517,30.4563,29.3773,31.5353,-0.0764,(62.77354273207973-5.463078999188927j),(64.3596215803419-2.483597607529158j),(63.9347537458844-1.5822551057130583j),130.0,26.4534,297.9698,2300.050049,7393.930176000001,1141.689941,0.045
2010-01-08,51197400.0,30.7474,30.5082,29.5024,31.514,-0.085,(62.58767844822928-5.4683370756070895j),(63.91715981003468-2.481485432802023j),(63.25239056737007-1.5825657172017855j),133.52,26.6292,301.9421,2317.169922,7425.350098000001,1144.97998,0.04
2010-01-11,68754700.0,30.6489,30.5349,29.5871,31.4826,-0.1147,(62.401504487455796-5.473215762003411j),(63.47431196745516-2.478684613998851j),(62.56987742497091-1.5818881970574648j),130.308,26.3943,301.4857,2312.409912,7449.049805,1146.97998,0.025
2010-01-12,65912100.0,30.5903,30.5444,29.6198,31.469,-0.1436,(62.21502687882313-5.477714719897504j),(63.03112530203867-2.475195928382855j),(61.88736473972952-1.5802229683141118j),127.35,26.0941,296.1542,2282.310059,7370.450195,1136.219971,0.04
2010-01-13,51863500.0,30.5046,30.5682,29.6919,31.4445,-0.1396,(62.02825166014464-5.481833637154294j),(62.587647058865386-2.471020344109078j),(61.20500279573825-1.5775710707169628j),129.11,26.4622,294.454,2307.899902,7430.140137,1145.680054,0.05
2010-01-14,63228100.0,30.5046,30.6087,29.7423,31.4751,-0.0937,(61.84118487768634-5.48557222800572j),(62.143924470598684-2.46615901995579j),(60.522941684751885-1.5739341600733519j),127.35,26.3089,295.8382,2316.73999,7448.52002,1148.459961,0.045
2010-01-15,79913200.0,30.5174,30.6487,29.8178,31.4795,-0.0692,(61.65383258586976-5.48893023307054j),(61.700004749429866-2.460613305002874j),(59.84133125088411-1.5693145072188022j),127.14,25.8692,290.898,2287.98999,7356.790039,1136.030029,0.055
2010-01-19,46575700.0,30.61,30.6963,29.8822,31.5103,-0.0374,(61.46620084697443-5.49190741937233j),(61.25593507903161-2.45438473825745j),(59.16032103541306-1.5637149965991668j),127.61,27.0136,294.7198,2320.399902,7443.680176000001,1150.22998,0.05
2010-01-20,54849500.0,30.5993,30.7432,30.0895,31.3969,-0.0508,(61.27829573084024-5.494503580355646j),(60.81176260652136-2.4474750482267758j),(58.48006022172043-1.5571391244696131j),125.78,26.5972,291.1036,2291.25,7329.830078,1138.040039,0.05
2010-01-21,73086700.0,30.5621,30.7265,30.019,31.4341,-0.0956,(61.090123314569205-5.496718535900366j),(60.36753443443633-2.4398861524385778j),(57.80069758038834-1.5495909967116233j),126.62,26.1383,292.3926,2265.699951,7174.459961,1116.47998,0.04
2010-01-22,102004600.0,30.4036,30.6522,29.6203,31.6842,-0.1878,(60.90168968222728-5.498552132334165j),(59.92329761272185-2.4316201569088935j),(57.12238141447898-1.541075326269325j),121.43,24.8416,275.8565,2205.290039,7030.609863,1091.76001,0.045
2010-01-25,63373000.0,30.2564,30.5808,29.4073,31.7543,-0.2145,(60.71300092454564-5.500004242443202j),(59.47909913073477-2.4226793555576394j),(56.44525950502119-1.5315974302068067j),120.31,25.5106,270.836,2210.800049,7073.129883,1096.780029,0.045
2010-01-26,66639900.0,30.0479,30.5132,29.2644,31.762,-0.2097,(60.52406313862197-5.501074765480928j),(59.03498590926345-2.4130662295720136j),(55.769479056728294-1.5211632263882136j),119.48,25.8705,272.0498,2203.72998,7028.319823999999,1092.170044,0.065
2010-01-27,63949500.0,29.8779,30.4499,29.1717,31.728,-0.1856,(60.33488242762137-5.501763627175086j),(58.591004792566-2.4027834467179376j),(55.09518664397149-1.5097792297827202j),122.75,26.1147,271.8893,2221.409912,7035.609863,1097.5,0.07
2010-01-28,117513700.0,29.6007,30.3541,29.0069,31.7014,-0.1936,(60.14546490047712-5.502070779732847j),(58.14720254042851-2.391833860599703j),(54.422528157032865-1.4974525483966643j),126.03,25.0351,267.9722,2179.0,6956.990234000001,1084.530029,0.07
2010-01-29,193888500.0,29.2571,30.2013,28.6464,31.7562,-0.2509,(59.955816671591286-5.501996201844156j),(57.703625820244675-2.380220509868081j),(53.75164874866192-1.4841908788354243j),125.41,24.1272,265.7925,2147.350098,6883.779785,1073.869995,0.07
2010-02-01,85931100.0,29.0286,30.0799,28.3886,31.7711,-0.2582,(59.76594386053507-5.501539898683166j),(57.260321199118835-2.3679466173770365j),(53.08269278095964-1.4700025014977516j),118.87,24.4623,267.3352,2171.199951,7008.22998,1089.189941,0.085
2010-02-02,54413700.0,28.9571,29.9837,28.1691,31.7982,-0.2448,(59.57585259174919-5.500701901907941j),(56.81733513599355-2.355015589289371j),(52.41580377261336-1.4548962754056327j),118.12,24.6042,266.3823,2190.060059,7101.439941,1103.319946,0.09
2010-02-03,61397900.0,28.8586,29.8732,28.0253,31.7211,-0.2109,(59.38554899424392-5.499482269658203j),(56.374713973803665-2.341431014131447j),(51.75112434650633-1.438881632672816j),119.1,25.0276,271.2473,2190.909912,7042.620117,1097.280029,0.09
