,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-01-04,-0.6000810118356072,-0.6124866740432244,-0.585422282823034,-0.599974257137371,-0.9634340949990168,0.11743925714568071,-0.021025856676558683,0.0
2010-01-05,-0.5989988046307855,-0.6202818020468776,-0.5982371429398115,-0.6129627877830948,-0.9682332290448542,0.881098745152113,-0.021025856676558683,0.0
2010-01-06,-0.6052097329367218,-0.6295239298595925,-0.6702851342630255,-0.6869880004849921,-0.9955844449238033,1.5905157720313516,-0.021025856676558683,0.0
2010-01-07,-0.6826581268122649,-0.7035543071877023,-0.7353561461893279,-0.7536248098847925,-1.0202055314513858,3.364441098531758,-0.021025856676558683,0.0
2010-01-08,-0.7645294544814293,-0.7350615610946846,-0.752157851675769,-0.7163533741188025,-1.0064342389784537,2.1335600888403556,-0.021025856676558683,0.0
2010-01-11,-0.7059020554723607,-0.7294135940980254,-0.7287588663514315,-0.7206358244403998,-1.0080165006114237,3.946089424973623,-0.021025856676558683,0.0
2010-01-12,-0.7359215422843878,-0.7588203644112093,-0.7574261830571107,-0.7706604913838941,-1.0264999096740415,2.2275001576070066,-0.021025856676558683,0.0
2010-01-13,-0.8375078620761846,-0.8044708745164368,-0.8243482303336143,-0.7866137953291853,-1.0323942156082557,3.4244067225601404,-0.021025856676558683,0.0
2010-01-14,-0.8026419690860405,-0.7773046200366385,-0.7820591919482495,-0.7736252646834615,-1.0275954282455106,1.7809111849798263,-0.021025856676558683,0.0
2010-01-15,-0.7664586064552428,-0.7802919744811528,-0.8046987781545559,-0.8199792599227297,-1.0447222663682048,2.650831945960565,-0.021025856676558683,0.0
2010-01-19,-0.8139816184930913,-0.7949486822245491,-0.8130047060080227,-0.7841196209660574,-1.0314727319490895,1.836684683316255,-0.021025856676558683,0.0
2010-01-20,-0.7928550517554734,-0.8156734536833639,-0.8177509504957179,-0.8180498042833289,-1.0440094859305658,1.0602665518995287,-0.021025856676558683,0.0
2010-01-21,-0.8048063834956847,-0.8117595525869189,-0.8321747874938238,-0.8059554116168394,-1.03954074087163,3.2867956400633966,-0.021025856676558683,0.0
2010-01-22,-0.8939237941884421,-0.8874633151780881,-1.0096416151332377,-0.9611118809608669,-1.0968686036870396,3.64564159929464,-0.021025856676558683,0.0
